movieid,movieName,releaseDate,rating,popularity
4922,The Curious Case of Benjamin Button,11/24/08,7.3,60.269279
49538,X-Men: First Class,5/24/11,7.1,3.195174
131634,The Hunger Games: Mockingjay - Part 2,11/18/15,6.6,127.284427
27022,The Sorcerer's Apprentice,7/13/10,5.8,35.580815
503,Poseidon,5/12/06,5.5,21.133748
241259,Alice Through the Looking Glass,5/25/16,6.5,56.268916
810,Shrek the Third,5/17/07,6,42.986467
68735,Warcraft,5/25/16,6.3,63.148529
87101,Terminator Genisys,6/23/15,5.8,202.042635
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,8/13/10,6.2,49.661984
676,Pearl Harbor,5/21/01,6.6,34.20669
1858,Transformers,6/27/07,6.6,25.468493
1966,Alexander,11/21/04,5.6,39.019229
675,Harry Potter and the Order of the Phoenix,6/28/07,7.4,78.144395
674,Harry Potter and the Goblet of Fire,11/5/05,7.5,101.250416
8960,Hancock,7/1/08,6.2,56.758411
6479,I Am Legend,12/14/07,6.9,70.867401
118,Charlie and the Chocolate Factory,7/13/05,6.7,53.905592
2062,Ratatouille,6/22/07,7.5,65.677399
272,Batman Begins,6/10/05,7.5,115.040024
10527,Madagascar: Escape 2 Africa,10/30/08,6.2,44.141021
18360,Night at the Museum: Battle of the Smithsonian,5/20/09,5.9,81.781591
2080,X-Men Origins: Wolverine,4/28/09,6.2,5.954334
605,The Matrix Revolutions,11/5/03,6.4,73.313918
109445,Frozen,11/27/13,7.3,165.125366
604,The Matrix Reloaded,5/15/03,6.7,70.78591
76338,Thor: The Dark World,10/29/13,6.8,99.499595
76341,Mad Max: Fury Road,5/13/15,7.2,434.278564
13448,Angels & Demons,5/13/09,6.5,67.447636
10195,Thor,4/21/11,6.6,86.493424
13053,Bolt,11/21/08,6.3,41.845878
19585,G-Force,7/21/09,5.1,26.710398
57165,Wrath of the Titans,3/27/12,5.5,44.927635
62213,Dark Shadows,5/8/12,5.7,50.306728
177677,Mission: Impossible - Rogue Nation,7/23/15,7.1,114.522237
7978,The Wolfman,2/11/10,5.5,21.214571
5559,Bee Movie,10/28/07,5.7,29.332905
49444,Kung Fu Panda 2,5/25/11,6.7,51.247321
10196,The Last Airbender,6/30/10,4.7,33.769336
956,Mission: Impossible III,5/3/06,6.5,63.079003
117251,White House Down,6/27/13,6.4,39.004588
50321,Mars Needs Moms,3/9/11,5.5,12.362599
11619,Flushed Away,10/22/06,6,22.550135
266647,Pan,9/24/15,5.9,48.03528
82703,Mr. Peabody & Sherman,2/7/14,6.7,38.73494
652,Troy,5/13/04,6.9,66.803149
80321,Madagascar 3: Europe's Most Wanted,6/6/12,6.4,44.989192
36669,Die Another Day,11/17/02,5.8,54.159392
43074,Ghostbusters,7/14/16,5.3,66.21806
95,Armageddon,7/1/98,6.4,58.485967
608,Men in Black II,7/3/02,6,91.332849
2310,Beowulf,11/5/07,5.5,35.601665
140300,Kung Fu Panda 3,1/23/16,6.7,56.747978
56292,Mission: Impossible - Ghost Protocol,12/7/11,6.8,77.77477
81188,Rise of the Guardians,11/21/12,7.1,61.788035
7552,Fun with Dick and Jane,12/21/05,5.9,25.159168
616,The Last Samurai,12/5/03,7.3,52.341226
147441,Exodus: Gods and Kings,12/3/14,5.6,101.599427
13475,Star Trek,5/6/09,7.4,73.616808
557,Spider-Man,5/1/02,6.8,82.502566
82702,How to Train Your Dragon 2,6/12/14,7.6,100.21391
205584,Gods of Egypt,2/25/16,5.3,56.257249
10048,Stealth,7/28/05,4.9,17.88953
13183,Watchmen,3/5/09,7,64.798873
944,Lethal Weapon 4,7/10/98,6.3,24.855701
1927,Hulk,6/19/03,5.3,34.981698
72559,G.I. Joe: Retaliation,3/26/13,5.4,59.325589
7364,Sahara,4/6/05,5.7,21.605568
2114,Final Fantasy: The Spirits Within,7/2/01,5.9,26.074908
1771,Captain America: The First Avenger,7/22/11,6.6,74.506246
36643,The World Is Not Enough,11/8/99,6,39.604363
8619,Master and Commander: The Far Side of the World,11/14/03,6.9,36.973031
50620,The Twilight Saga: Breaking Dawn - Part 2,11/13/12,6.1,99.687084
65759,Happy Feet Two,11/17/11,5.8,17.7735
1724,The Incredible Hulk,6/12/08,6.1,62.898336
267935,The BFG,6/1/16,6,44.19092
281957,The Revenant,12/25/15,7.3,100.635882
77950,Turbo,7/11/13,6.1,44.765377
44896,Rango,3/2/11,6.6,29.91353
270946,Penguins of Madagascar,11/22/14,6.5,84.366984
2503,The Bourne Ultimatum,8/3/07,7.3,45.381501
9502,Kung Fu Panda,6/4/08,6.9,84.689648
102899,Ant-Man,7/14/15,7,120.09361
101299,The Hunger Games: Catching Fire,11/15/13,7.4,76.310119
228161,Home,3/18/15,6.8,63.473086
74,War of the Worlds,6/28/05,6.2,48.572726
8961,Bad Boys II,7/18/03,6.3,38.068736
417859,Puss in Boots,10/28/11,6.4,20.678787
27576,Salt,7/21/10,6.2,48.829437
86834,Noah,3/20/14,5.6,46.115758
17578,The Adventures of Tintin,10/25/11,6.7,89.938296
673,Harry Potter and the Prisoner of Azkaban,5/31/04,7.7,79.679601
6972,Australia,11/18/08,6.3,28.840997
82700,After Earth,5/30/13,5,42.840582
10567,Dinosaur,5/19/00,6.2,26.548594
181533,Night at the Museum: Secret of the Tomb,12/17/14,6.1,115.597753
38055,Megamind,10/28/10,6.7,68.757242
671,Harry Potter and the Philosopher's Stone,11/16/01,7.5,109.984351
49524,R.I.P.D.,7/18/13,5.4,39.448066
22,Pirates of the Caribbean: The Curse of the Black Pearl,7/9/03,7.5,271.972889
131631,The Hunger Games: Mockingjay - Part 1,11/18/14,6.6,206.227151
591,The Da Vinci Code,5/17/06,6.5,45.313197
172385,Rio 2,3/19/14,6.3,42.40024
36658,X2,4/24/03,6.8,2.871739
51497,Fast Five,4/20/11,7.1,7.255718
58574,Sherlock Holmes: A Game of Shadows,11/22/11,7,81.499621
18823,Clash of the Titans,4/1/10,5.6,47.686442
861,Total Recall,6/1/90,7.1,43.129703
1911,The 13th Warrior,8/27/99,6.4,27.220157
49040,The Bourne Legacy,8/8/12,6,90.33681
415,Batman & Robin,6/20/97,4.2,50.073575
8871,How the Grinch Stole Christmas,11/17/00,6.2,45.419668
435,The Day After Tomorrow,5/26/04,6.2,41.380094
955,Mission: Impossible II,5/24/00,5.9,54.931334
2133,The Perfect Storm,3/15/00,6.2,25.752118
1979,4: Rise of the Silver Surfer,6/13/07,5.4,60.810723
87827,Life of Pi,11/20/12,7.2,51.328145
1250,Ghost Rider,2/16/07,5.2,46.834704
324668,Jason Bourne,7/27/16,5.9,62.641286
9471,Charlie's Angels: Full Throttle,6/27/03,5.2,33.616115
70981,Prometheus,5/30/12,6.3,68.889395
10996,Stuart Little 2,7/19/02,5.4,27.990284
68724,Elysium,8/7/13,6.4,67.33767
2789,The Chronicles of Riddick,6/11/04,6.3,27.835436
97020,RoboCop,1/30/14,5.7,66.757869
7459,Speed Racer,5/9/08,5.7,17.060695
42888,How Do You Know,12/17/10,4.9,11.137655
37834,Knight and Day,6/15/10,5.9,44.906918
75612,Oblivion,4/10/13,6.4,67.698004
1895,Star Wars: Episode III - Revenge of the Sith,5/17/05,7.1,44.108427
1894,Star Wars: Episode II - Attack of the Clones,5/15/02,6.4,43.987061
585,"Monsters, Inc.",11/1/01,7.5,106.815545
76170,The Wolverine,7/23/13,6.3,15.953444
1893,Star Wars: Episode I - The Phantom Menace,5/19/99,6.3,54.035265
49519,The Croods,3/20/13,6.8,64.183321
2395,Astérix aux Jeux Olympiques,1/13/08,5,20.344364
12100,Windtalkers,6/14/02,5.8,18.714197
290595,The Huntsman: Winter's War,4/6/16,6,60.467984
98566,Teenage Mutant Ninja Turtles,8/7/14,5.8,143.350376
49047,Gravity,9/27/13,7.3,110.153618
9619,Dante's Peak,2/7/97,5.7,16.90444
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,6/1/16,5.8,39.873791
166424,Fantastic Four,8/5/15,4.4,38.126095
1593,Night at the Museum,10/20/06,6.3,48.780039
254128,San Andreas,5/27/15,6,100.412364
714,Tomorrow Never Dies,12/11/97,6,42.887121
2024,The Patriot,6/28/00,6.8,23.657284
163,Ocean's Twelve,12/9/04,6.4,76.840712
787,Mr. & Mrs. Smith,6/7/05,6.5,44.635452
262500,Insurgent,3/18/15,6.2,103.718387
2567,The Aviator,12/17/04,7,45.616098
38745,Gulliver's Travels,12/25/10,4.9,22.845143
40805,The Green Hornet,1/12/11,5.5,31.703608
53182,300: Rise of an Empire,3/5/14,6.1,71.510596
41513,The Smurfs,7/29/11,5.5,36.65422
13700,Home on the Range,4/2/04,5.7,19.625972
262504,Allegiant,3/9/16,5.9,86.105615
39254,Real Steel,9/28/11,6.6,37.195046
77931,The Smurfs 2,7/30/13,5.5,32.473628
1639,Speed 2: Cruise Control,6/13/97,4.1,23.336875
80274,Ender's Game,10/23/13,6.6,45.94834
1571,Live Free or Die Hard,6/20/07,6.4,48.93337
120,The Lord of the Rings: The Fellowship of the Ring,12/18/01,8,138.049577
10204,Around the World in 80 Days,6/16/04,5.7,22.643776
8489,Ali,12/11/01,6.7,18.866672
10588,The Cat in the Hat,11/21/03,4.9,18.251129
2048,"I, Robot",7/15/04,6.7,95.914473
1495,Kingdom of Heaven,5/3/05,6.6,44.490453
10137,Stuart Little,12/17/99,5.8,30.475297
10198,The Princess and the Frog,12/8/09,6.7,62.479574
286217,The Martian,9/30/15,7.6,167.93287
1635,The Island,7/20/05,6.5,37.68056
24113,Town & Country,4/27/01,3.7,1.004579
9679,Gone in Sixty Seconds,6/9/00,6.1,52.995628
98,Gladiator,5/1/00,7.9,95.301296
180,Minority Report,6/20/02,7.1,65.948959
672,Harry Potter and the Chamber of Secrets,11/13/02,7.4,132.397737
36557,Casino Royale,11/14/06,7.3,88.935165
869,Planet of the Apes,7/25/01,5.6,51.188633
280,Terminator 2: Judgment Day,7/1/91,7.7,101.74155
11322,Public Enemies,7/1/09,6.5,33.691694
4982,American Gangster,11/2/07,7.4,42.361215
36955,True Lies,7/14/94,6.8,38.729418
18487,The Taking of Pelham 1 2 3,6/11/09,6.2,40.597856
39451,Little Fockers,12/21/10,5.4,32.389353
27581,The Other Guys,8/6/10,6.1,24.399642
9268,Eraser,6/21/96,5.6,24.507987
68718,Django Unchained,12/25/12,7.8,82.121691
10545,The Hunchback of Notre Dame,6/21/96,6.8,46.727941
11688,The Emperor's New Groove,12/9/00,7.2,51.113717
76163,The Expendables 2,8/8/12,6.1,53.732892
2059,National Treasure,11/19/04,6.4,58.849256
2486,Eragon,12/14/06,4.9,30.863434
16523,Where the Wild Things Are,10/16/09,6.4,31.586215
116711,Epic,5/15/13,6.4,36.711378
37710,The Tourist,12/8/10,6,41.426678
9946,End of Days,11/24/99,5.5,20.652943
1372,Blood Diamond,12/7/06,7.3,52.792678
106646,The Wolf of Wall Street,12/25/13,7.9,95.007934
414,Batman Forever,5/31/95,5.2,48.205606
563,Starship Troopers,11/6/97,6.7,58.782359
83542,Cloud Atlas,10/26/12,6.6,73.872343
41216,Legend of the Guardians: The Owls of Ga'Hoole,7/10/10,6.5,37.321848
314,Catwoman,7/22/04,4.2,32.271938
184315,Hercules,7/23/14,5.6,76.842247
9016,Treasure Planet,11/26/02,7.2,38.924136
18162,Land of the Lost,6/5/09,5.3,19.38841
138103,The Expendables 3,8/4/14,6.1,61.025639
257088,Point Break,12/3/15,5.5,33.507289
10214,Son of the Mask,2/18/05,3.6,17.815595
205775,In the Heart of the Sea,11/20/15,6.5,50.767332
11692,The Adventures of Pluto Nash,8/15/02,4.4,12.092241
22972,Green Zone,3/11/10,6.4,30.254021
227973,The Peanuts Movie,11/5/15,6.5,34.308098
29193,The Spanish Prisoner,9/8/97,7.1,3.091077
1734,The Mummy Returns,4/28/01,6,41.862983
3131,Gangs of New York,12/14/02,7.1,46.160048
76758,金陵十三釵,12/15/11,7.1,12.516546
9408,Surf's Up,6/8/07,5.9,23.230851
9890,The Stepford Wives,6/10/04,5.4,19.224754
855,Black Hawk Down,12/28/01,7.2,44.455166
77953,The Campaign,8/9/12,5.6,16.460356
18,The Fifth Element,5/7/97,7.3,109.528572
37786,Sex and the City 2,5/26/10,5.4,18.325897
10501,The Road to El Dorado,3/31/00,7,37.054554
57800,Ice Age: Continental Drift,6/26/12,6.2,65.229868
150689,Cinderella,3/12/15,6.7,101.187052
7980,The Lovely Bones,12/26/09,6.6,29.257137
12,Finding Nemo,5/30/03,7.6,85.688789
122,The Lord of the Rings: The Return of the King,12/1/03,8.1,123.630332
121,The Lord of the Rings: The Two Towers,12/18/02,8,106.914973
68737,Seventh Son,12/12/14,5.2,63.628459
1995,Lara Croft: Tomb Raider,6/11/01,5.7,41.498631
157353,Transcendence,4/16/14,5.9,58.991388
331,Jurassic Park III,7/18/01,5.7,1.859364
61791,Rise of the Planet of the Apes,8/3/11,7,138.433168
8204,The Spiderwick Chronicles,2/14/08,6.3,21.436682
47964,A Good Day to Die Hard,2/6/13,5.2,65.402595
10733,The Alamo,4/7/04,5.8,10.660441
9806,The Incredibles,11/5/04,7.4,77.817571
1408,Cutthroat Island,12/22/95,5.7,7.029308
32657,Percy Jackson & the Olympians: The Lightning Thief,2/1/10,6,61.121717
607,Men in Black,7/2/97,6.9,104.121555
863,Toy Story 2,10/30/99,7.3,73.575118
44048,Unstoppable,11/4/10,6.3,37.698465
5175,Rush Hour 2,8/3/01,6.4,35.814765
2655,What Lies Beneath,7/21/00,6.3,15.835672
22794,Cloudy with a Chance of Meatballs,9/17/09,6.5,46.781182
8355,Ice Age: Dawn of the Dinosaurs,6/29/09,6.5,69.457898
116745,The Secret Life of Walter Mitty,12/18/13,7,43.348022
4327,Charlie's Angels,11/2/00,5.6,40.20395
1422,The Departed,10/5/06,7.9,63.429157
10674,Mulan,6/18/98,7.6,67.427755
7446,Tropic Thunder,8/9/08,6.5,43.192048
65754,The Girl with the Dragon Tattoo,12/14/11,7.2,47.651083
1572,Die Hard: With a Vengeance,5/19/95,6.9,51.881077
10528,Sherlock Holmes,12/23/09,7,57.834787
271969,Ben-Hur,8/17/16,5.3,29.608322
10865,Atlantis: The Lost Empire,6/2/01,6.7,51.548589
258509,Alvin and the Chipmunks: The Road Chip,12/17/15,5.8,27.867368
2253,Valkyrie,12/25/08,6.7,38.832842
10661,You Don't Mess with the Zohan,6/5/08,5.5,40.597344
257344,Pixels,7/16/15,5.6,140.849495
644,A.I. Artificial Intelligence,6/29/01,6.8,34.035114
10756,The Haunted Mansion,11/25/03,5.2,16.302378
686,Contact,7/11/97,7.2,55.249434
9383,Hollow Man,8/4/00,5.6,28.200874
179,The Interpreter,4/8/05,6.2,18.69984
76285,Percy Jackson: Sea of Monsters,8/7/13,5.9,40.262261
1996,Lara Croft Tomb Raider: The Cradle of Life,7/21/03,5.5,56.811056
291805,Now You See Me 2,6/2/16,6.7,51.535701
10003,The Saint,4/3/97,5.9,20.913852
1535,Spy Game,11/18/01,6.8,27.166757
2067,Mission to Mars,3/10/00,5.7,16.058284
46195,Rio,4/3/11,6.5,46.200042
2277,Bicentennial Man,12/17/99,6.9,24.939295
10357,Volcano,4/25/97,5.2,19.836124
4477,The Devil's Own,3/12/97,5.9,15.350451
8665,K-19: The Widowmaker,7/19/02,6.1,15.625949
9387,Conan the Barbarian,4/2/82,6.6,31.802807
921,Cinderella Man,6/2/05,7.3,24.100863
49852,The Nutcracker: The Untold Story,11/24/10,5.4,3.593349
4464,Seabiscuit,7/22/03,6.7,14.824166
664,Twister,5/10/96,6.1,32.079995
8358,Cast Away,12/22/00,7.5,57.739713
9836,Happy Feet,11/16/06,5.9,37.272385
2502,The Bourne Supremacy,7/23/04,7.2,53.213931
9772,Air Force One,7/25/97,6.2,36.38795
161,Ocean's Eleven,12/7/01,7.2,60.929352
52451,The Three Musketeers,8/31/11,5.6,36.605246
76492,Hotel Transylvania,9/20/12,6.8,56.257411
4523,Enchanted,11/20/07,6.6,29.21998
59961,Safe House,2/9/12,6.3,34.773106
10481,102 Dalmatians,10/7/00,5.1,9.895061
59108,Tower Heist,11/2/11,5.8,36.743324
1581,The Holiday,12/8/06,6.7,44.967453
9798,Enemy of the State,11/20/98,6.7,41.207568
22897,It's Complicated,12/23/09,6.2,16.479851
298,Ocean's Thirteen,6/7/07,6.5,42.069993
7484,Open Season,9/29/06,6.1,26.61951
157350,Divergent,3/14/14,6.9,80.316463
853,Enemy at the Gates,3/13/01,7.2,41.273567
10159,The Rundown,9/26/03,6.4,24.107835
9593,Last Action Hero,6/18/93,6.1,32.044191
1904,Memoirs of a Geisha,12/6/05,7.3,16.595874
9615,The Fast and the Furious: Tokyo Drift,6/3/06,6.1,8.282876
51052,Arthur Christmas,2/22/11,6.7,19.83683
297,Meet Joe Black,11/12/98,6.9,36.069611
9884,Collateral Damage,2/6/02,5.5,18.827753
16858,All That Jazz,12/20/79,7.3,5.159407
62764,Mirror Mirror,3/15/12,5.5,48.126297
22538,Scott Pilgrim vs. the World,7/27/10,7.2,38.885195
9341,The Core,3/28/03,5.4,29.211255
12107,Nutty Professor II: The Klumps,7/27/00,4.7,17.783361
9637,Scooby-Doo,6/14/02,5.4,31.435539
49049,Dredd,9/7/12,6.6,57.673932
9339,Click,6/22/06,6,41.176631
16281,Creepshow,11/12/82,6.7,13.661289
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,7/30/10,4.9,11.77398
8247,Jumper,2/10/08,5.9,21.218
11253,Hellboy II: The Golden Army,7/11/08,6.5,58.57976
1949,Zodiac,3/2/07,7.3,51.970905
8452,The 6th Day,11/17/00,5.7,18.447479
310,Bruce Almighty,5/23/03,6.4,109.684788
27578,The Expendables,8/3/10,6,77.580661
954,Mission: Impossible,5/22/96,6.7,75.290998
70160,The Hunger Games,3/12/12,6.9,68.550698
45243,The Hangover Part II,5/25/11,6.2,58.040149
364,Batman Returns,6/19/92,6.6,59.113174
7518,Over the Hedge,4/22/06,6.3,36.32705
11544,Lilo & Stitch,6/21/02,7.1,55.659988
9986,Charlotte's Web,12/15/06,5.8,14.132583
8656,Deep Impact,5/8/98,5.9,34.070054
146216,RED 2,7/18/13,6.4,44.34333
9291,The Longest Yard,5/19/05,6.2,26.065735
55301,Alvin and the Chipmunks: Chipwrecked,12/14/11,5.4,23.473004
109418,Grown Ups 2,7/11/13,5.8,45.589568
11665,Get Smart,6/19/08,6,23.496054
6964,Something's Gotta Give,12/12/03,6.3,16.939441
11324,Shutter Island,2/18/10,7.8,81.914696
12193,Four Christmases,11/26/08,5.3,19.500893
9928,Robots,3/10/05,6,29.558157
754,Face/Off,6/27/97,6.8,46.075037
10202,Bedtime Stories,12/24/08,5.9,23.531721
4147,Road to Perdition,7/12/02,7.3,49.078546
50546,Just Go with It,2/10/11,6.3,37.02665
1701,Con Air,6/1/97,6.5,45.154631
13027,Eagle Eye,9/25/08,6.3,46.887983
2289,Cold Mountain,12/24/03,6.7,24.598479
20504,The Book of Eli,1/14/10,6.6,32.363538
9574,Flubber,11/26/97,5.3,11.50396
11618,The Haunting,7/23/99,5.2,19.375768
2300,Space Jam,11/15/96,6.5,36.125715
12096,The Pink Panther,1/18/06,5.6,25.450534
10200,The Day the Earth Stood Still,12/10/08,5.2,41.890722
8834,Conspiracy Theory,8/7/97,6.5,22.179658
228150,Fury,10/15/14,7.4,139.575085
6068,Six Days Seven Nights,6/12/98,5.6,18.264635
41515,Yogi Bear,12/11/10,5.2,11.187696
9023,Spirit: Stallion of the Cimarron,5/24/02,7.4,41.670544
38317,Zookeeper,7/6/11,5.3,27.46264
2157,Lost in Space,4/3/98,5,17.455024
14462,The Manchurian Candidate,7/30/04,6.2,21.394281
161795,Déjà Vu,4/22/98,8,0.605645
159824,Hotel Transylvania 2,9/21/15,6.7,61.692197
49948,Fantasia 2000,12/17/99,7,14.530946
2135,The Time Machine,3/4/02,5.8,25.978555
9822,Mighty Joe Young,12/25/98,5.9,6.643778
9705,Swordfish,6/7/01,6.1,36.788745
1656,The Legend of Zorro,10/24/05,5.9,31.054334
12159,What Dreams May Come,10/2/98,6.8,21.891078
9678,Little Nicky,11/10/00,5.2,18.335992
4442,The Brothers Grimm,8/26/05,5.6,40.138009
75,Mars Attacks!,12/12/96,6.1,44.090535
330770,Évolution,9/14/15,6.4,3.300061
9433,The Edge,9/6/97,6.7,20.632673
19959,Surrogates,9/24/09,5.9,36.664991
11973,Thirteen Days,12/24/00,6.9,18.26121
11228,Daylight,12/6/96,5.8,16.681269
77951,Walking With Dinosaurs,12/18/13,5.2,10.088006
5491,Battlefield Earth,5/10/00,3,7.89147
10715,Looney Tunes: Back in Action,11/14/03,5.6,16.715631
10197,Nine,12/3/09,5.1,9.357734
9562,Timeline,11/26/03,5.4,11.22268
9922,The Postman,12/25/97,6.1,14.564667
9447,Babe: Pig in the City,11/25/98,5.2,11.356079
274854,The Last Witch Hunter,10/21/15,5.7,52.612025
8870,Red Planet,11/10/00,5.4,13.800656
9992,Arthur et les Minimoys,12/13/06,6,27.097932
36970,Oceans,10/17/09,7.3,10.706613
10077,A Sound of Thunder,5/15/05,4.8,7.342892
76649,Pompeii,2/18/14,5.2,50.561849
293644,Don Gato: El inicio de la pandilla,10/30/15,5.3,0.719996
453,A Beautiful Mind,12/11/01,7.7,59.248437
8587,The Lion King,6/23/94,8,90.457886
72545,Journey 2: The Mysterious Island,1/19/12,5.8,40.723459
109451,Cloudy with a Chance of Meatballs 2,9/26/13,6.4,41.247402
9533,Red Dragon,9/29/02,6.7,10.083905
2023,Hidalgo,3/5/04,6.5,16.759252
71880,Jack and Jill,11/11/11,4.1,22.132418
584,2 Fast 2 Furious,6/5/03,6.2,10.520961
309809,The Little Prince,7/29/15,7.6,35.384423
4858,The Invasion,8/17/07,5.7,15.673154
17711,The Adventures of Rocky & Bullwinkle,6/30/00,3.9,8.981427
328111,The Secret Life of Pets,6/18/16,5.9,31.482872
8698,The League of Extraordinary Gentlemen,7/11/03,5.7,47.436675
93456,Despicable Me 2,6/25/13,7,136.886704
602,Independence Day,6/25/96,6.7,60.442593
330,The Lost World: Jurassic Park,5/23/97,6.2,2.502487
953,Madagascar,5/25/05,6.6,48.110909
9693,Children of Men,9/22/06,7.4,35.387874
