id,name,movieid
35,Comedy,82690
12,Adventure,82690
12,Adventure,5255
16,Animation,5255
10751,Family,5255
14,Fantasy,5255
28,Action,47933
12,Adventure,47933
878,Science Fiction,47933
14,Fantasy,10191
12,Adventure,10191
16,Animation,10191
10751,Family,10191
28,Action,296
53,Thriller,296
878,Science Fiction,296
28,Action,118340
878,Science Fiction,118340
12,Adventure,118340
12,Adventure,157336
18,Drama,157336
878,Science Fiction,157336
28,Action,27205
53,Thriller,27205
878,Science Fiction,27205
9648,Mystery,27205
12,Adventure,27205
28,Action,315011
12,Adventure,315011
18,Drama,315011
27,Horror,315011
878,Science Fiction,315011
12,Adventure,49051
14,Fantasy,49051
28,Action,49051
28,Action,9799
80,Crime,9799
53,Thriller,9799
14,Fantasy,4922
18,Drama,4922
53,Thriller,4922
9648,Mystery,4922
10749,Romance,4922
28,Action,49538
878,Science Fiction,49538
12,Adventure,49538
28,Action,131634
12,Adventure,131634
878,Science Fiction,131634
14,Fantasy,27022
12,Adventure,27022
28,Action,27022
35,Comedy,27022
18,Drama,27022
12,Adventure,503
28,Action,503
18,Drama,503
53,Thriller,503
14,Fantasy,241259
14,Fantasy,810
12,Adventure,810
16,Animation,810
35,Comedy,810
10751,Family,810
28,Action,68735
12,Adventure,68735
14,Fantasy,68735
878,Science Fiction,87101
28,Action,87101
53,Thriller,87101
12,Adventure,87101
12,Adventure,10140
10751,Family,10140
14,Fantasy,10140
36,History,676
10749,Romance,676
10752,War,676
12,Adventure,1858
878,Science Fiction,1858
28,Action,1858
10752,War,1966
36,History,1966
28,Action,1966
12,Adventure,1966
18,Drama,1966
10749,Romance,1966
12,Adventure,675
14,Fantasy,675
10751,Family,675
9648,Mystery,675
12,Adventure,674
14,Fantasy,674
10751,Family,674
14,Fantasy,8960
28,Action,8960
18,Drama,6479
27,Horror,6479
28,Action,6479
53,Thriller,6479
878,Science Fiction,6479
12,Adventure,118
35,Comedy,118
10751,Family,118
14,Fantasy,118
16,Animation,2062
35,Comedy,2062
10751,Family,2062
14,Fantasy,2062
28,Action,272
80,Crime,272
18,Drama,272
10751,Family,10527
16,Animation,10527
12,Adventure,18360
14,Fantasy,18360
28,Action,18360
35,Comedy,18360
10751,Family,18360
12,Adventure,2080
28,Action,2080
53,Thriller,2080
878,Science Fiction,2080
12,Adventure,605
28,Action,605
53,Thriller,605
878,Science Fiction,605
16,Animation,109445
12,Adventure,109445
10751,Family,109445
12,Adventure,604
28,Action,604
53,Thriller,604
878,Science Fiction,604
28,Action,76338
12,Adventure,76338
14,Fantasy,76338
28,Action,76341
12,Adventure,76341
878,Science Fiction,76341
53,Thriller,76341
53,Thriller,13448
9648,Mystery,13448
12,Adventure,10195
14,Fantasy,10195
28,Action,10195
16,Animation,13053
10751,Family,13053
12,Adventure,13053
35,Comedy,13053
14,Fantasy,19585
28,Action,19585
12,Adventure,19585
10751,Family,19585
35,Comedy,19585
12,Adventure,57165
35,Comedy,62213
14,Fantasy,62213
28,Action,177677
12,Adventure,177677
53,Thriller,177677
18,Drama,7978
27,Horror,7978
53,Thriller,7978
10751,Family,5559
16,Animation,5559
12,Adventure,5559
35,Comedy,5559
16,Animation,49444
10751,Family,49444
28,Action,10196
12,Adventure,10196
10751,Family,10196
14,Fantasy,10196
12,Adventure,956
28,Action,956
53,Thriller,956
28,Action,117251
18,Drama,117251
53,Thriller,117251
12,Adventure,50321
16,Animation,50321
10751,Family,50321
12,Adventure,11619
16,Animation,11619
35,Comedy,11619
10751,Family,11619
12,Adventure,266647
10751,Family,266647
14,Fantasy,266647
16,Animation,82703
12,Adventure,82703
10751,Family,82703
12,Adventure,652
18,Drama,652
10752,War,652
16,Animation,80321
10751,Family,80321
12,Adventure,36669
28,Action,36669
53,Thriller,36669
28,Action,43074
14,Fantasy,43074
35,Comedy,43074
28,Action,95
53,Thriller,95
878,Science Fiction,95
12,Adventure,95
28,Action,608
12,Adventure,608
35,Comedy,608
878,Science Fiction,608
12,Adventure,2310
28,Action,2310
16,Animation,2310
28,Action,140300
12,Adventure,140300
16,Animation,140300
35,Comedy,140300
10751,Family,140300
28,Action,56292
53,Thriller,56292
12,Adventure,56292
14,Fantasy,81188
16,Animation,81188
10751,Family,81188
35,Comedy,7552
18,Drama,616
28,Action,616
10752,War,616
36,History,616
12,Adventure,147441
18,Drama,147441
28,Action,147441
878,Science Fiction,13475
28,Action,13475
12,Adventure,13475
14,Fantasy,557
28,Action,557
14,Fantasy,82702
28,Action,82702
12,Adventure,82702
16,Animation,82702
35,Comedy,82702
10751,Family,82702
14,Fantasy,205584
28,Action,10048
28,Action,13183
9648,Mystery,13183
878,Science Fiction,13183
28,Action,944
12,Adventure,944
35,Comedy,944
80,Crime,944
53,Thriller,944
18,Drama,1927
28,Action,1927
878,Science Fiction,1927
12,Adventure,72559
28,Action,72559
878,Science Fiction,72559
53,Thriller,72559
28,Action,7364
12,Adventure,7364
35,Comedy,7364
18,Drama,7364
9648,Mystery,7364
12,Adventure,2114
28,Action,2114
16,Animation,2114
14,Fantasy,2114
878,Science Fiction,2114
53,Thriller,2114
28,Action,1771
12,Adventure,1771
878,Science Fiction,1771
12,Adventure,36643
28,Action,36643
53,Thriller,36643
12,Adventure,8619
12,Adventure,50620
14,Fantasy,50620
18,Drama,50620
10749,Romance,50620
16,Animation,65759
35,Comedy,65759
10751,Family,65759
878,Science Fiction,1724
28,Action,1724
12,Adventure,1724
12,Adventure,267935
10751,Family,267935
14,Fantasy,267935
37,Western,281957
18,Drama,281957
12,Adventure,281957
53,Thriller,281957
16,Animation,77950
10751,Family,77950
16,Animation,44896
35,Comedy,44896
10751,Family,44896
37,Western,44896
12,Adventure,44896
10751,Family,270946
16,Animation,270946
12,Adventure,270946
35,Comedy,270946
28,Action,2503
18,Drama,2503
9648,Mystery,2503
53,Thriller,2503
12,Adventure,9502
16,Animation,9502
10751,Family,9502
35,Comedy,9502
878,Science Fiction,102899
28,Action,102899
12,Adventure,102899
12,Adventure,101299
28,Action,101299
878,Science Fiction,101299
14,Fantasy,228161
35,Comedy,228161
16,Animation,228161
878,Science Fiction,228161
10751,Family,228161
12,Adventure,74
53,Thriller,74
878,Science Fiction,74
12,Adventure,8961
28,Action,8961
35,Comedy,8961
53,Thriller,8961
80,Crime,8961
28,Action,417859
12,Adventure,417859
16,Animation,417859
10751,Family,417859
14,Fantasy,417859
28,Action,27576
9648,Mystery,27576
53,Thriller,27576
18,Drama,86834
12,Adventure,86834
12,Adventure,17578
16,Animation,17578
9648,Mystery,17578
12,Adventure,673
14,Fantasy,673
10751,Family,673
18,Drama,6972
878,Science Fiction,82700
28,Action,82700
12,Adventure,82700
16,Animation,10567
10751,Family,10567
12,Adventure,181533
35,Comedy,181533
14,Fantasy,181533
10751,Family,181533
16,Animation,38055
28,Action,38055
35,Comedy,38055
10751,Family,38055
878,Science Fiction,38055
12,Adventure,671
14,Fantasy,671
10751,Family,671
14,Fantasy,49524
28,Action,49524
35,Comedy,49524
80,Crime,49524
12,Adventure,22
14,Fantasy,22
28,Action,22
878,Science Fiction,131631
12,Adventure,131631
53,Thriller,131631
53,Thriller,591
9648,Mystery,591
16,Animation,172385
12,Adventure,172385
35,Comedy,172385
10751,Family,172385
12,Adventure,36658
28,Action,36658
878,Science Fiction,36658
53,Thriller,36658
28,Action,51497
53,Thriller,51497
80,Crime,51497
12,Adventure,58574
28,Action,58574
80,Crime,58574
9648,Mystery,58574
12,Adventure,18823
14,Fantasy,18823
28,Action,18823
28,Action,861
12,Adventure,861
878,Science Fiction,861
12,Adventure,1911
14,Fantasy,1911
28,Action,1911
28,Action,49040
53,Thriller,49040
28,Action,415
80,Crime,415
14,Fantasy,415
10751,Family,8871
35,Comedy,8871
14,Fantasy,8871
28,Action,435
12,Adventure,435
878,Science Fiction,435
53,Thriller,435
12,Adventure,955
28,Action,955
53,Thriller,955
18,Drama,2133
12,Adventure,1979
14,Fantasy,1979
28,Action,1979
53,Thriller,1979
12,Adventure,87827
18,Drama,87827
28,Action,87827
53,Thriller,1250
28,Action,1250
14,Fantasy,1250
27,Horror,1250
28,Action,324668
53,Thriller,324668
28,Action,9471
12,Adventure,9471
35,Comedy,9471
878,Science Fiction,70981
12,Adventure,70981
9648,Mystery,70981
10751,Family,10996
12,Adventure,10996
16,Animation,10996
35,Comedy,10996
878,Science Fiction,68724
28,Action,68724
18,Drama,68724
53,Thriller,68724
28,Action,2789
878,Science Fiction,2789
28,Action,97020
878,Science Fiction,97020
28,Action,7459
10751,Family,7459
878,Science Fiction,7459
35,Comedy,42888
18,Drama,42888
10749,Romance,42888
28,Action,37834
35,Comedy,37834
28,Action,75612
878,Science Fiction,75612
12,Adventure,75612
9648,Mystery,75612
878,Science Fiction,1895
12,Adventure,1895
28,Action,1895
12,Adventure,1894
28,Action,1894
878,Science Fiction,1894
16,Animation,585
35,Comedy,585
10751,Family,585
28,Action,76170
878,Science Fiction,76170
12,Adventure,76170
14,Fantasy,76170
12,Adventure,1893
28,Action,1893
878,Science Fiction,1893
12,Adventure,49519
16,Animation,49519
35,Comedy,49519
10751,Family,49519
14,Fantasy,49519
14,Fantasy,2395
12,Adventure,2395
35,Comedy,2395
10751,Family,2395
18,Drama,12100
28,Action,12100
36,History,12100
10752,War,12100
28,Action,290595
12,Adventure,290595
18,Drama,290595
878,Science Fiction,98566
28,Action,98566
12,Adventure,98566
14,Fantasy,98566
35,Comedy,98566
878,Science Fiction,49047
53,Thriller,49047
18,Drama,49047
28,Action,9619
12,Adventure,9619
53,Thriller,9619
14,Fantasy,308531
28,Action,308531
12,Adventure,308531
35,Comedy,308531
28,Action,166424
12,Adventure,166424
878,Science Fiction,166424
28,Action,1593
12,Adventure,1593
35,Comedy,1593
10751,Family,1593
14,Fantasy,1593
28,Action,254128
18,Drama,254128
53,Thriller,254128
12,Adventure,714
28,Action,714
53,Thriller,714
18,Drama,2024
36,History,2024
10752,War,2024
28,Action,2024
53,Thriller,163
80,Crime,163
28,Action,787
35,Comedy,787
18,Drama,787
53,Thriller,787
12,Adventure,262500
878,Science Fiction,262500
53,Thriller,262500
18,Drama,2567
35,Comedy,38745
28,Action,40805
80,Crime,40805
35,Comedy,40805
28,Action,53182
10752,War,53182
16,Animation,41513
10751,Family,41513
12,Adventure,41513
35,Comedy,41513
14,Fantasy,41513
16,Animation,13700
10751,Family,13700
12,Adventure,262504
878,Science Fiction,262504
28,Action,39254
878,Science Fiction,39254
18,Drama,39254
14,Fantasy,77931
10751,Family,77931
35,Comedy,77931
16,Animation,77931
28,Action,1639
12,Adventure,1639
53,Thriller,1639
878,Science Fiction,80274
28,Action,80274
12,Adventure,80274
28,Action,1571
53,Thriller,1571
12,Adventure,120
14,Fantasy,120
28,Action,120
28,Action,10204
12,Adventure,10204
35,Comedy,10204
18,Drama,8489
35,Comedy,10588
14,Fantasy,10588
10751,Family,10588
28,Action,2048
878,Science Fiction,2048
18,Drama,1495
28,Action,1495
12,Adventure,1495
36,History,1495
10752,War,1495
16,Animation,10137
14,Fantasy,10137
10751,Family,10137
35,Comedy,10137
10749,Romance,10198
10751,Family,10198
16,Animation,10198
10402,Music,10198
18,Drama,286217
12,Adventure,286217
878,Science Fiction,286217
28,Action,1635
53,Thriller,1635
878,Science Fiction,1635
12,Adventure,1635
35,Comedy,24113
10749,Romance,24113
28,Action,9679
80,Crime,9679
53,Thriller,9679
28,Action,98
18,Drama,98
12,Adventure,98
28,Action,180
53,Thriller,180
878,Science Fiction,180
9648,Mystery,180
12,Adventure,672
14,Fantasy,672
10751,Family,672
12,Adventure,36557
28,Action,36557
53,Thriller,36557
53,Thriller,869
878,Science Fiction,869
28,Action,869
12,Adventure,869
28,Action,280
53,Thriller,280
878,Science Fiction,280
36,History,11322
80,Crime,11322
18,Drama,11322
18,Drama,4982
80,Crime,4982
28,Action,36955
53,Thriller,36955
53,Thriller,18487
18,Drama,18487
80,Crime,18487
35,Comedy,39451
10749,Romance,39451
28,Action,27581
35,Comedy,27581
80,Crime,27581
28,Action,9268
18,Drama,9268
9648,Mystery,9268
53,Thriller,9268
18,Drama,68718
37,Western,68718
18,Drama,10545
16,Animation,10545
10751,Family,10545
12,Adventure,11688
16,Animation,11688
35,Comedy,11688
10751,Family,11688
14,Fantasy,11688
28,Action,76163
12,Adventure,76163
53,Thriller,76163
12,Adventure,2059
28,Action,2059
53,Thriller,2059
9648,Mystery,2059
14,Fantasy,2486
28,Action,2486
12,Adventure,2486
10751,Family,2486
10751,Family,16523
14,Fantasy,16523
16,Animation,116711
12,Adventure,116711
10751,Family,116711
14,Fantasy,116711
28,Action,37710
53,Thriller,37710
10749,Romance,37710
28,Action,9946
14,Fantasy,9946
27,Horror,9946
9648,Mystery,9946
18,Drama,1372
53,Thriller,1372
28,Action,1372
80,Crime,106646
18,Drama,106646
35,Comedy,106646
28,Action,414
80,Crime,414
14,Fantasy,414
12,Adventure,563
28,Action,563
53,Thriller,563
878,Science Fiction,563
18,Drama,83542
878,Science Fiction,83542
16,Animation,41216
12,Adventure,41216
10751,Family,41216
14,Fantasy,41216
28,Action,314
80,Crime,314
28,Action,184315
12,Adventure,184315
12,Adventure,9016
16,Animation,9016
10751,Family,9016
14,Fantasy,9016
878,Science Fiction,9016
12,Adventure,18162
35,Comedy,18162
878,Science Fiction,18162
28,Action,138103
12,Adventure,138103
53,Thriller,138103
28,Action,257088
80,Crime,257088
53,Thriller,257088
14,Fantasy,10214
35,Comedy,10214
10751,Family,10214
12,Adventure,10214
53,Thriller,205775
18,Drama,205775
12,Adventure,205775
28,Action,205775
36,History,205775
28,Action,11692
35,Comedy,11692
878,Science Fiction,11692
10752,War,22972
28,Action,22972
12,Adventure,22972
18,Drama,22972
53,Thriller,22972
16,Animation,227973
80,Crime,29193
18,Drama,29193
9648,Mystery,29193
53,Thriller,29193
12,Adventure,1734
28,Action,1734
14,Fantasy,1734
18,Drama,3131
36,History,3131
80,Crime,3131
18,Drama,76758
36,History,76758
10752,War,76758
16,Animation,9408
35,Comedy,9408
10751,Family,9408
28,Action,9890
35,Comedy,9890
878,Science Fiction,9890
28,Action,855
36,History,855
10752,War,855
35,Comedy,77953
12,Adventure,18
14,Fantasy,18
28,Action,18
53,Thriller,18
878,Science Fiction,18
35,Comedy,37786
18,Drama,37786
10749,Romance,37786
12,Adventure,10501
16,Animation,10501
35,Comedy,10501
10751,Family,10501
16,Animation,57800
35,Comedy,57800
12,Adventure,57800
10751,Family,57800
10749,Romance,150689
14,Fantasy,150689
10751,Family,150689
18,Drama,150689
14,Fantasy,7980
18,Drama,7980
16,Animation,12
10751,Family,12
12,Adventure,122
14,Fantasy,122
28,Action,122
12,Adventure,121
14,Fantasy,121
28,Action,121
12,Adventure,68737
14,Fantasy,68737
12,Adventure,1995
14,Fantasy,1995
28,Action,1995
53,Thriller,1995
53,Thriller,157353
878,Science Fiction,157353
18,Drama,157353
9648,Mystery,157353
12,Adventure,331
28,Action,331
53,Thriller,331
878,Science Fiction,331
53,Thriller,61791
28,Action,61791
18,Drama,61791
878,Science Fiction,61791
12,Adventure,8204
10751,Family,8204
14,Fantasy,8204
28,Action,47964
53,Thriller,47964
37,Western,10733
36,History,10733
10752,War,10733
28,Action,9806
12,Adventure,9806
16,Animation,9806
10751,Family,9806
28,Action,1408
12,Adventure,1408
12,Adventure,32657
14,Fantasy,32657
10751,Family,32657
28,Action,607
12,Adventure,607
35,Comedy,607
878,Science Fiction,607
16,Animation,863
35,Comedy,863
10751,Family,863
28,Action,44048
53,Thriller,44048
28,Action,5175
35,Comedy,5175
80,Crime,5175
53,Thriller,5175
18,Drama,2655
27,Horror,2655
9648,Mystery,2655
53,Thriller,2655
16,Animation,22794
35,Comedy,22794
10751,Family,22794
16,Animation,8355
35,Comedy,8355
10751,Family,8355
12,Adventure,8355
12,Adventure,116745
35,Comedy,116745
18,Drama,116745
14,Fantasy,116745
28,Action,4327
12,Adventure,4327
35,Comedy,4327
80,Crime,4327
53,Thriller,4327
18,Drama,1422
53,Thriller,1422
80,Crime,1422
16,Animation,10674
10751,Family,10674
12,Adventure,10674
28,Action,7446
35,Comedy,7446
53,Thriller,65754
80,Crime,65754
9648,Mystery,65754
18,Drama,65754
28,Action,1572
53,Thriller,1572
28,Action,10528
12,Adventure,10528
80,Crime,10528
9648,Mystery,10528
18,Drama,271969
16,Animation,10865
10751,Family,10865
12,Adventure,10865
878,Science Fiction,10865
12,Adventure,258509
16,Animation,258509
35,Comedy,258509
10751,Family,258509
18,Drama,2253
53,Thriller,2253
36,History,2253
10752,War,2253
35,Comedy,10661
28,Action,10661
28,Action,257344
35,Comedy,257344
878,Science Fiction,257344
18,Drama,644
878,Science Fiction,644
12,Adventure,644
53,Thriller,10756
14,Fantasy,10756
35,Comedy,10756
10751,Family,10756
9648,Mystery,10756
18,Drama,686
878,Science Fiction,686
9648,Mystery,686
28,Action,9383
878,Science Fiction,9383
53,Thriller,9383
80,Crime,179
53,Thriller,179
12,Adventure,76285
10751,Family,76285
14,Fantasy,76285
28,Action,1996
12,Adventure,1996
14,Fantasy,1996
53,Thriller,1996
28,Action,291805
12,Adventure,291805
35,Comedy,291805
80,Crime,291805
9648,Mystery,291805
53,Thriller,291805
53,Thriller,10003
28,Action,10003
10749,Romance,10003
878,Science Fiction,10003
12,Adventure,10003
28,Action,1535
80,Crime,1535
53,Thriller,1535
878,Science Fiction,2067
16,Animation,46195
12,Adventure,46195
35,Comedy,46195
10751,Family,46195
35,Comedy,2277
878,Science Fiction,2277
878,Science Fiction,10357
28,Action,10357
18,Drama,10357
53,Thriller,10357
80,Crime,4477
53,Thriller,4477
18,Drama,4477
18,Drama,8665
36,History,8665
53,Thriller,8665
12,Adventure,9387
14,Fantasy,9387
28,Action,9387
10749,Romance,921
18,Drama,921
36,History,921
14,Fantasy,49852
28,Action,49852
10751,Family,49852
18,Drama,4464
36,History,4464
28,Action,664
12,Adventure,664
18,Drama,664
12,Adventure,8358
18,Drama,8358
16,Animation,9836
35,Comedy,9836
28,Action,2502
18,Drama,2502
53,Thriller,2502
28,Action,9772
53,Thriller,9772
53,Thriller,161
80,Crime,161
12,Adventure,52451
28,Action,52451
53,Thriller,52451
16,Animation,76492
35,Comedy,76492
10751,Family,76492
14,Fantasy,76492
35,Comedy,4523
10751,Family,4523
14,Fantasy,4523
10749,Romance,4523
28,Action,59961
53,Thriller,59961
35,Comedy,10481
10751,Family,10481
28,Action,59108
35,Comedy,59108
35,Comedy,1581
10749,Romance,1581
28,Action,9798
18,Drama,9798
53,Thriller,9798
35,Comedy,22897
10749,Romance,22897
80,Crime,298
53,Thriller,298
12,Adventure,7484
16,Animation,7484
10751,Family,7484
12,Adventure,157350
28,Action,157350
878,Science Fiction,157350
10752,War,853
12,Adventure,10159
28,Action,10159
35,Comedy,10159
53,Thriller,10159
12,Adventure,9593
14,Fantasy,9593
28,Action,9593
35,Comedy,9593
10751,Family,9593
18,Drama,1904
36,History,1904
10749,Romance,1904
28,Action,9615
80,Crime,9615
18,Drama,9615
53,Thriller,9615
18,Drama,51052
16,Animation,51052
10751,Family,51052
35,Comedy,51052
14,Fantasy,297
18,Drama,297
9648,Mystery,297
28,Action,9884
53,Thriller,9884
18,Drama,9884
18,Drama,16858
10402,Music,16858
12,Adventure,62764
14,Fantasy,62764
18,Drama,62764
35,Comedy,62764
878,Science Fiction,62764
10751,Family,62764
28,Action,22538
12,Adventure,22538
35,Comedy,22538
28,Action,9341
53,Thriller,9341
12,Adventure,9341
878,Science Fiction,9341
14,Fantasy,12107
35,Comedy,12107
10749,Romance,12107
878,Science Fiction,12107
9648,Mystery,9637
12,Adventure,9637
35,Comedy,9637
28,Action,49049
878,Science Fiction,49049
35,Comedy,9339
18,Drama,9339
14,Fantasy,9339
10749,Romance,9339
27,Horror,16281
35,Comedy,16281
14,Fantasy,16281
35,Comedy,39691
10751,Family,39691
12,Adventure,8247
14,Fantasy,8247
878,Science Fiction,8247
12,Adventure,11253
14,Fantasy,11253
878,Science Fiction,11253
80,Crime,1949
18,Drama,1949
9648,Mystery,1949
53,Thriller,1949
878,Science Fiction,8452
14,Fantasy,310
35,Comedy,310
53,Thriller,27578
12,Adventure,27578
28,Action,27578
12,Adventure,954
28,Action,954
53,Thriller,954
878,Science Fiction,70160
12,Adventure,70160
14,Fantasy,70160
35,Comedy,45243
28,Action,364
14,Fantasy,364
35,Comedy,7518
16,Animation,7518
10751,Family,7518
16,Animation,11544
10751,Family,11544
35,Comedy,9986
10751,Family,9986
14,Fantasy,9986
28,Action,8656
18,Drama,8656
10749,Romance,8656
28,Action,146216
35,Comedy,146216
80,Crime,146216
53,Thriller,146216
35,Comedy,9291
18,Drama,9291
35,Comedy,55301
14,Fantasy,55301
10751,Family,55301
10402,Music,55301
16,Animation,55301
35,Comedy,109418
28,Action,11665
35,Comedy,11665
53,Thriller,11665
18,Drama,6964
35,Comedy,6964
10749,Romance,6964
18,Drama,11324
53,Thriller,11324
9648,Mystery,11324
35,Comedy,12193
10749,Romance,12193
18,Drama,12193
16,Animation,9928
35,Comedy,9928
10751,Family,9928
878,Science Fiction,9928
28,Action,754
80,Crime,754
878,Science Fiction,754
53,Thriller,754
14,Fantasy,10202
35,Comedy,10202
10751,Family,10202
10749,Romance,10202
53,Thriller,4147
80,Crime,4147
18,Drama,4147
10749,Romance,50546
35,Comedy,50546
28,Action,1701
53,Thriller,1701
80,Crime,1701
9648,Mystery,13027
53,Thriller,13027
28,Action,13027
18,Drama,2289
28,Action,20504
53,Thriller,20504
878,Science Fiction,20504
35,Comedy,9574
10751,Family,9574
878,Science Fiction,9574
27,Horror,11618
53,Thriller,11618
14,Fantasy,11618
9648,Mystery,11618
16,Animation,2300
35,Comedy,2300
18,Drama,2300
10751,Family,2300
14,Fantasy,2300
28,Action,12096
35,Comedy,12096
80,Crime,12096
9648,Mystery,12096
10751,Family,12096
18,Drama,10200
878,Science Fiction,10200
53,Thriller,10200
28,Action,8834
18,Drama,8834
9648,Mystery,8834
53,Thriller,8834
10752,War,228150
18,Drama,228150
28,Action,228150
28,Action,6068
12,Adventure,6068
35,Comedy,6068
10749,Romance,6068
35,Comedy,41515
10751,Family,41515
16,Animation,41515
12,Adventure,41515
